title,classes,generated_text_1,generated_text_2
image_165.png,propaganda,a photography of a poster with a basket of fish and a man,fish is a fighting food we need more
image_162.png,propaganda,a photography of a poster advertising a women's march in france,a close up of a poster with a woman on it
image_510.png,propaganda,a photography of a newspaper article with a picture of a man on a horse,a newspaper advertisement with a picture of a man on a horse
image_463.png,propaganda,a photography of a poster of a soldier waving his hand,a close up of a poster with a man in uniform waving
image_160.png,propaganda,a photography of a newspaper advertisement with a picture of a woman,a close up of a newspaper with a black border and a black background
image_327.png,propaganda,a photography of a poster with a bunch of people in it,arafed poster of a group of people with faces of men
image_209.png,propaganda,a photography of a red cross poster with a woman raising her hand,a red poster with a woman holding a gun in her hand
image_119.png,propaganda,a photography of a poster of a tank with a target on it,a close up of a poster with a tank on it
image_147.png,propaganda,a photography of a man in a hat and a suit standing in the snow,there is a drawing of a man standing in the snow
image_425.png,propaganda,a photography of a poster with a man eating a plate of food,a close up of a poster with a man eating a plate of food
image_32.png,propaganda,a photography of a poster advertising a concert in the united states,"a close up of a poster with a red, white and blue stripe"
image_355.png,propaganda,a photography of a poster advertising the parisien's concert,a poster advertising the paris opera
image_489.png,propaganda,a photography of a poster with a soldier on it,a poster of a soldier is holding a rifle and a gun
image_88.png,propaganda,a photography of a sign that is on the side of a building,"a close up of a sign on a wall with a red, white and blue stripe"
image_438.png,propaganda,a photography of a poster advertising a man with a hat and apron,arafed poster of a man in overalls and a hat
image_112.png,propaganda,a photography of a poster of a man in a boat,arafed image of a poster of a man in a boat
image_370.png,propaganda,a photography of a poster with a description of the preparation culture,a black and white poster with a description of the preparation culture
image_105.png,propaganda,a photography of a plaque of a man with a beard,a book cover of the liberty bonds
image_239.png,propaganda,a photography of a newspaper advertisement with a picture of a man,a black and white photo of a newspaper advertisement with a picture of a man
image_121.png,propaganda,a photography of a poster with a red and blue stripe,a close up of a document with a red and blue stripe
image_94.png,propaganda,a photography of a woman sitting at a table with a book,a close up of a poster of a woman writing on a desk
image_166.png,propaganda,a photography of a sign advertising a book about the texas attraction,texas attention an important book
image_511.png,propaganda,a photography of a dog is sitting next to a large document,arafed document with a dog sitting on it's side
image_298.png,propaganda,a photography of a poster advertising a movie,a poster advertising a movie starring the great war
image_349.png,propaganda,a photography of a poster of a man in a suit and tie,a book cover of a man in a suit and tie standing in front of a crowd
image_377.png,propaganda,a photography of a painting of a military scene with a horse and carriage,a close up of a card with a picture of a man on a horse
image_406.png,propaganda,a photography of a poster of a group of soldiers,a picture of a book cover with a picture of a soldier and two other soldiers
image_274.png,propaganda,a photography of a sign with a picture of a building,arafed sign with a picture of a building and a clock
image_524.png,propaganda,a photography of the cover of the book the war of the worlds,"the cover of the book, the war of the world"
image_58.png,propaganda,a photography of a poster with a picture of a person in a wheelchair,a close up of a sign with a picture of a person
image_293.png,propaganda,a photography of a french newspaper with a red and black title,a close up of a book with a red and black cover
